№;Offer ID;Категория;Номенклатура;Фактура;Маркетинговая цена;Мин. цена конкурентов
166;46527_bk_2;Столешница;С закруг.углами 1200х700 (36);Дуб белый крафт;261,39;0,00
167;49527_bk_ch_4;Компьютерные столы;1600х700 (18);Дуб белый крафт;497,94;416,22
168;50876_bk_chmatgl_3;Компьютерные столы;Подъемный 1300x800;Дуб белый крафт;972,93;0,00
169;51675_bk_ch_3;Компьютерные столы;Подъемный с подсветкой 1400х700;Дуб белый крафт;686,55;0,00
170;42378_b_b_67;Обеденные столы;2 1250х380/760;Белый;455,79;420,84
171;46529_t_3;Столешница;С закруг.углами 1300х800 (36);Дуб табачный крафт;285,39;223,68
172;48577_bet_7;Столешница;прямоугольная 1200х700 (18);Бетон;196,65;0,00
173;51507_z_ch_4;Письменные столы;1600х800;Дуб золотой крафт;972,63;1 042,65
174;51778_z_4;Столешница;Овальная 1800х1000 (36);Дуб золотой крафт;272,43;382,59
175;41434_z_b_10;Обеденные столы;1600х800;Дуб золотой крафт;886,95;0,00
176;42432_z_b_10;Обеденные столы;1800х900;Дуб золотой крафт;671,85;742,83
177;50876_z_chmatgl_4;Компьютерные столы;Подъемный 1300x800;Дуб золотой крафт;2 958,30;0,00
178;50810_b_1;Подстолье;Для 1600x800;Металлокаркас Белый;223,83;0,00
179;51396_sr_b_9;Обеденные столы;1400х800;Серый;825,30;0,00
180;46450_bk_1;Столешница;прямоугольная 1600х800 (36);Дуб белый крафт;315,63;252,63
181;46531_t_3;Столешница;С закруг.углами 1800х900 (36);Дуб табачный крафт;418,65;0,00
182;51394_bk_3;Столешница;С закруг.углами 1400х800 (36);Дуб белый крафт;437,07;232,20
183;44651_ch_1;Подстолье;Для 1200х700;(пусто);275,52;0,00
184;46897_ch_2;Подстолье;Для 2;(пусто);307,50;0,00
185;50758_tw_ch_9;Сад;Керамогранит 1200х600;Керамогранит Дерево Вуд 4;531,15;567,69
186;51394_t_5;Столешница;С закруг.углами 1400х800 (36);Дуб табачный крафт;437,07;239,49
187;51780_bk_ch_4;Обеденные столы;1800х1000 (36);Дуб белый крафт;581,73;748,29
188;50663_t_ch_4;Обеденные столы;2 круглая D1200;Дуб табачный крафт;902,73;526,74
189;46530_bet_9;Столешница;С закруг.углами 1600х800 (36);Бетон;336,12;365,25
190;50671_t_ch_4;Компьютерные столы;2 1600х800;Дуб табачный крафт;783,12;690,42
191;51191_bet_g_6;Компьютерные столы;1400х800;Бетон;816,63;0,00
192;46897_b_1;Подстолье;Для 2;(пусто);457,89;0,00
193;41434_pas_ch_21;Обеденные столы;1600х800;Сосна пасадена;573,24;508,62
194;48110_pas_ch_10;Обеденные столы;1300х800 (18);Сосна пасадена;614,25;0,00
195;49518_b_b_7;Компьютерные столы;1 1300х850;Белый;523,95;612,66
