№;Offer ID;Категория;Номенклатура;Фактура;Маркетинговая цена;Мин. цена конкурентов
265;51495_bk_ch_3;Столешница;геймерская 1800х800 (36);Дуб белый крафт;411,90;258,06
266;51674;Аксессуары для компьютерных столов;Кронштейн для монитора F80;Металлокаркас Черный;87,36;#Н/Д
267;46450_z_2;Столешница;прямоугольная 1600х800 (36);Дуб золотой крафт;343,62;0,00
268;46529_pas_4;Столешница;С закруг.углами 1300х800 (36);Сосна пасадена;261,96;0,00
269;50578_t_ch_6;Столешница;геймерская 1300х800 (36);Дуб табачный крафт;312,15;0,00
271;50673_bet_ch_8;Обеденные столы;2000х800 (18);Бетон;843,30;0,00
272;51544_bk_ch_4;Обеденные столы;1800х800;Дуб белый крафт;756,06;442,80
273;51786_bk_ch_4;Обеденные столы;1600х1000 (36);Дуб белый крафт;425,91;750,69
274;41434_t_ch_2;Обеденные столы;1600х800;Дуб табачный крафт;627,27;540,84
275;49524_t_ch_7;Компьютерные столы;1300х700 (18);Дуб табачный крафт;470,58;0,00
276;51107_z_ch_6;Аксессуары для компьютерных столов;Подставка для монитора (600х230х100);Дуб золотой крафт;90,96;120,51
277;51423_nm_ch_2;Сад;Керамогранит 1600х800;Керамогранит Мрамор Неро;746,55;0,00
278;46449_pas_6;Столешница;прямоугольная 1300х800 (36);Сосна пасадена;290,13;219,75
279;48111_bg_b_15;Обеденные столы;1600х800 (18);Бежевый;405,72;0,00
280;50878_bet_g_2;Компьютерные столы;2 1400х800;Бетон;976,80;0,00
281;51495_z_ch_4;Столешница;геймерская 1800х800 (36);Дуб золотой крафт;560,91;354,72
282;51664_t_ch_5;Компьютерные столы;Кембридж 1600х800 (36);Дуб табачный крафт;1 229,22;1 241,88
283;51696_z_4;Столешница;Угловая 1400х1100 (36);Дуб золотой крафт;589,80;0,00
284;46448_t_22;Столешница;прямоугольная 1200х700 (36);Дуб табачный крафт;248,58;191,46
285;49518_bet_g_8;Компьютерные столы;1 1300х850;Бетон;590,07;616,11
286;50669_bk_ch_2;Столешница;геймерская 1600х800 (36);Дуб белый крафт;494,79;285,03
287;50671_bk_ch_2;Компьютерные столы;2 1600х800;Дуб белый крафт;701,40;0,00
288;50673_pas_ch_6;Обеденные столы;2000х800 (18);Сосна пасадена;604,44;607,17
289;51675_z_ch_4;Компьютерные столы;Подъемный с подсветкой 1400х700;Дуб золотой крафт;686,55;0,00
290;44651_b_3;Подстолье;Для 1200х700;(пусто);215,94;0,00
291;51581_b_1;Подстолье;для 1600х800;Металлокаркас Белый;268,17;0,00
292;47154_b_1;Подстолье;Для 680х720;(пусто);512,97;328,32
293;42432_pas_ch_8;Обеденные столы;1800х900;Сосна пасадена;941,04;588,75
294;48111_sr_b_14;Обеденные столы;1600х800 (18);Серый;652,41;0,00
295;49527_bet_g_13;Компьютерные столы;1600х700 (18);Бетон;503,01;555,48
296;51110_z_ch_4;Компьютерные столы;с ящиком 1800х800;Дуб золотой крафт;1 071,99;1 126,65
297;51778_bk_3;Столешница;Овальная 1800х1000 (36);Дуб белый крафт;259,44;0,00
298;48111_bk_ch_4;Обеденные столы;1600х800 (18);Дуб белый крафт;380,34;364,59
299;50695_t_ch_5;Компьютерные столы;1600х800;Дуб табачный крафт;875,40;0,00
300;50885_bet_chmatgl_3;Компьютерные столы;Подъемный 1600x800;Бетон;930,60;0,00
301;46915_ch_2;Сад;каркас гамака;(пусто);279,00;0,00
302;51495_bet_ch_2;Столешница;геймерская 1800х800 (36);Бетон;436,20;354,72
303;46448_bk_1;Столешница;прямоугольная 1200х700 (36);Дуб белый крафт;344,52;191,46
304;46530_pas_4;Столешница;С закруг.углами 1600х800 (36);Сосна пасадена;353,82;282,81
305;47660_bk_1;Столешница;круглая раздвижная D1100;Дуб белый крафт;884,70;0,00
306;48111_b_b_2;Обеденные столы;1600х800 (18);Белый;483,06;396,90
307;46531_pas_4;Столешница;С закруг.углами 1800х900 (36);Сосна пасадена;586,44;0,00
308;50878_z_ch_4;Компьютерные столы;2 1400х800;Дуб золотой крафт;976,80;799,02
309;51396_b_b_1;Обеденные столы;1400х800;Белый;513,00;0,00
310;51470_z_ch_4;Компьютерные столы;угловой 2000х1200;Дуб золотой крафт;2 647,53;0,00
311;42819_ch_2;Подстолье;U-образное 620;(пусто);443,67;285,39
312;47206_t_ch_5;Обеденные столы;3 круглая D1100/1500;Дуб табачный крафт;948,99;823,80
313;49527_z_ch_6;Компьютерные столы;1600х700 (18);Дуб золотой крафт;517,38;421,56
314;50812_ch_3;Подстолье;Для 1300x800;Металлокаркас Черный;233,16;196,47
315;51110_t_ch_5;Компьютерные столы;с ящиком 1800х800;Дуб табачный крафт;1 071,99;1 126,65
316;47865_b_2;Столешница;прямоугольная 1400х700 (36);Белый;278,16;217,05
317;48110_t_ch_4;Обеденные столы;1300х800 (18);Дуб табачный крафт;394,50;345,63
318;51107_t_ch_7;Аксессуары для компьютерных столов;Подставка для монитора (600х230х100);Дуб табачный крафт;90,96;60,90
319;42321_bk_ch_49;Обеденные столы;1 1100х380/760;Дуб белый крафт;441,06;0,00
